13.875	266	19.375	386	21.625	488	28.875	572	35.375	635				
14	261	19.5	385	21.75	486	29	571	35.5	631				
14.125	255	19.625	383	21.875	483	29.125	570	35.625	626				
14.25	250	19.75	381	22	481	29.25	569	35.75	621				
14.375	244	19.875	380	22.125	479	29.375	568	35.875	616				
14.5	239	20	378	22.25	477	29.5	567	36	611				
14.625	233	20.125	377	22.375	475	29.625	566	36.125	606				
14.75	228	20.25	375	22.5	473	29.75	565	36.25	600				
14.875	223	20.375	373	22.625	471	29.875	564	36.375	595				
15	218	20.5	371	22.75	470	30	563	36.5	589				
15.125	214	20.625	370	22.875	468	30.125	562	36.625	583				
15.25	209	20.75	368	23	467	30.25	561	36.75	577				
15.375	205	20.875	366	23.125	465	30.375	560	36.875	571				
15.5	202	21	365	23.25	464	30.5	559	37	566				
15.625	198	21.125	363	23.375	463	30.625	558	37.125	560				
15.75	195	21.25	361	23.5	462	30.75	558	37.25	556				
15.875	192	21.375	360	23.625	461	30.875	557	37.375	552				
16	189	21.5	358	23.75	460	31	556	37.5	549				
16.125	187	21.625	356	23.875	459	31.125	555	37.625	546				
16.25	185	21.75	355	24	458	31.25	554	37.75	543				
16.375	183	21.875	353	24.125	457	31.375	554	37.875	541				
16.5	181	22	351	24.25	456	31.5	553	38	540				
16.625	179	22.125	350	24.375	455	31.625	552	38.125	539				
16.75	177	22.25	348	24.5	454	31.75	551	38.25	537				
16.875	176	22.375	347	24.625	454	31.875	551	38.375	536				
17	174	22.5	345	24.75	453	32	550	38.5	535				
17.125	173	22.625	344	24.875	452	32.125	549	38.625	535				
17.25	172	22.75	342	25	451	32.25	549	38.75	534				
17.375	171	22.875	341	25.125	451	32.375	548	38.875	533				
17.5	169	23	339	25.25	450	32.5	547	39	533				
17.625	168	23.125	338	25.375	450	32.625	547	39.125	532				
17.75	167	23.25	336	25.5	449	32.75	546	39.25	532				
17.875	166	23.375	335	25.625	448	32.875	545	39.375	531				
18	166	23.5	334	25.75	448	33	545	39.5	531				
18.125	165	23.625	332	25.875	447	33.125	544	39.625	530				
18.25	164	23.75	331	26	447	33.25	544	39.75	530				
18.375	163	23.875	329	26.125	446	33.375	543	39.875	529				
18.5	162	24	328	26.25	446	33.5	542	40	529				
18.625	162	24.125	327	26.375	445	33.625	542						
18.75	161	24.25	325	26.5	445	33.75	541						
18.875	161	24.375	324	26.625	444	33.875	541						
19	160	24.5	323	26.75	444	34	540						
19.125	159	24.625	321	26.875	444	34.125	539						
19.25	159	24.75	320	27	443	34.25	539						
19.375	158	24.875	319	27.125	443	34.375	538						
19.5	158	25	318	27.25	442	34.5	538						
19.625	157	25.125	316	27.375	442	34.625	537						
19.75	157	25.25	315	27.5	442	34.75	537						
19.875	157	25.375	314	27.625	441	34.875	536						
20	156	25.5	313	27.75	441	35	535						
